,SKU,Description,,,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20
"Inventory, beginning - ZB-VX-TR-U-W/B",ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,,,,0,0,0,846,-17,3627,3497,3803,5835,12331,12127,11545,10723,9892,9451,8212,7397.4,6439.10456,5480.80912,4522.51368,3755.877328,2701.677328,1647.477328,784.977328,-269.222672,-1376.132672
"Inventory, beginning - 900-00003-01",900-00003-01, VX Wired Thermostat,,,,2269,1269,1238,1173,1173,1076,974,878,777,733,685,643,287,246,226,208,175.416,137.0841824,98.7523648,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472
"Inventory, beginning - 900-00003-00",900-00003-00,VX Wireless Thermostat,,,,835,1680,1672,1597,1597,1455,1395,1223,1171,1075,995,887,1058,991,843,973,924.124,866.6262736,809.1285472,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208
"Inventory, beginning - 900-00001-11",900-00001-11,New VX Wired Thermostat Black,,,,251,242,242,216,214,203,193,193,193,180,180,180,220,220,220,220,220,220,220,220,220,220,220,220,220,220
"Inventory, beginning - 900-00001-10",900-00001-10,New VX Wireless Thermostat Black,,,,3,3,3,3,3,3,3,3,3,3,3,3,17,17,17,108,108,108,108,108,108,108,108,108,108,108
"Inventory, beginning - FCA46-120V",FCA46-120V,Voltage Adapter for 120V Systems,,,,798,828,758,738,738,678,629,539,535,532,522,512,412,399,329,406,403,400,397,394,391,391,391,391,391,391
"Inventory, beginning - FCA46-240/277V",FCA46-240/277V,Voltage Adapter for  240/277V Systems,,,,685,670,669,669,664,654,654,654,654,654,644,644,317,313,312,303,1037,1027,1017,1007,997,997,997,997,997,997
"Inventory, beginning - FCA47-120V",FCA47-120V,Voltage Adapter 120V for new VX,,,,4081,3848,3444,3424,3424,3078,3033,2671,2326,1983,1957,1945,1358,884,484,574,2287,2016,1745,1974,1703,1703,1703,1703,1703,1703
"Inventory, beginning - FCA47-240/277V",FCA47-240/277V,Voltage Adapter 240/277V for new VX,,,,1668,1418,1414,1412,1407,1402,1385,1365,1354,1342,1328,26,10,1060,1056,1262,1471,1464,1457,1950,1943,1943,1943,1943,1943,1943
"Inventory, beginning - X9-RF-AOS",X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,,,,3235,3159,2923,2891,1949,1491,1166,790,2600,1937,4784,590,230,0,1428,5163,4709.1,8367.65684,6930.21368,5992.77052,4842.815992,3261.515992,3261.515992,3261.515992,3261.515992,3261.515992
"Inventory, beginning - X3-NC-OS",X3-NC-OS,Wired Remote Occupancy Sensor,,,,6644,3159,2923,2891,1949,1491,1166,840,2600,1937,2384,690,580,-1060,1428,5163,4709.1,8367.65684,6930.21368,5992.77052,4842.815992,3261.515992,3261.515992,3261.515992,3261.515992,3261.515992
"Inventory, beginning - X9-RF-DWS",X9-RF-DWS,Wireless Door/Window Switch,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,2545,1141,1338.78,3522.973192,2852.166384,2681.359576,2144.71413,1406.77413,1406.77413,1406.77413,1406.77413,1406.77413
"Inventory, beginning - X9-RF-Receiver",X9-RF-Receiver,Aux. Sensor Receiver,,,,5668,5654,5624,5584,4438,4111,4022,4022,3981,3284,6304,8235,7481,6681,6651,6883,9899.64,10923.3673,9390.094592,7856.821888,6170.221914,3850.981914,3850.981914,3850.981914,3850.981914,3850.981914
"Inventory, beginning - 900-00007-00",900-00007-00,ZX Wireless Wall Unit,,,,0,0,0,0,0,300,300,300,298,537,537,504,1192,3352,3352,3900,3658.0638,3373.450054,3088.836309,2804.222563,2574.231657,2257.971657,1941.711657,1682.961657,1366.701657,1034.628657
"Inventory, beginning - 900-00008-00",900-00008-00,ZX Wired Wall Unit,,,,0,0,0,0,0,196,194,556,1050,1179,1178,1175,1471,1470,4170,3625,3463.7092,3273.966703,3084.224206,2894.481709,2741.154438,2530.314438,2319.474438,2146.974438,1936.134438,1714.752438
"Inventory, beginning - 900-00009-00",900-00009-00,ZX High Voltage Control Card,,,,0,0,0,0,0,200,200,200,200,200,200,200,150,150,150,0,-48.38724,1394.690011,1337.767262,1280.844513,1234.846331,1171.594331,1108.342331,1056.592331,993.3403315,926.9257315
"Inventory, beginning - 900-00010-00",900-00010-00,ZX Low Voltage Control Card,,,,0,0,0,0,0,300,300,300,298,297,297,264,84,84,288,2716,2522.45104,2294.760043,2067.069047,1839.37805,1655.385326,1402.377326,1149.369326,942.3693259,689.3613259,423.7029259
"Inventory, beginning - 900-00011-00",900-00011-00,ZX Remote Sensor,,,,0,0,0,0,0,210,210,210,206,197,195,182,50,290,290,1805,1772.74184,1734.793341,1696.844841,1658.896342,1628.230888,1586.062888,1543.894888,1509.394888,1467.226888,1422.950488
"Inventory, beginning - 900-00012-00",900-00012-00,ZX Root Node,,,,0,0,0,0,0,15,15,115,115,115,115,115,20,20,20,19,74.93546,65.44833514,55.96121029,46.47408543,38.80772191,28.26572191,17.72372191,9.098721912,-1.443278088,-12.51237809
%  Analysis,,,,,,,,,,,,,,,,,,,,11K,,,,,,,,,,,
,Total Qty Pcs,,,,6464,6487,7330,8401,6256,8156,8653,8323,7892,8205,6369,7893,10000,8146,11021,11021,8146,9582.9544,9582.9544,9582.9544,7666.36352,10542,10542,8625,10542,11069.1,11622.555
,% growth,,,,,0.003558168,0.129952212,0.146111869,-0.255326747,0.30370844,0.060936734,-0.038137062,-0.051784212,0.039660416,-0.223765996,0.239284032,0.266945395,-0.1854,0.352933955,0,-0.26086562,0.1764,0,0,-0.2,0.375097851,0,-0.181844052,0.22226087,0.05,0.05
,% TR,,,,0.340655941,0.256975489,0.470395634,0.298416855,0.415441176,0.480137322,0.256558419,0.21770996,0.606563609,0.285070079,0.243680327,0.183833777,0.2627,0.380063835,0.324834407,0.331639597,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,%OEM,,,,0,0.092492678,0.081855389,0.021426021,0.110933504,0.127636096,0.024037906,0.060434939,0.011277243,0.018037782,0.001570105,0.022678323,0.2684,0.076847533,0.054441521,0.113147627,0.153081267,0.130126884,0.130126884,0.130126884,0.162658606,0.11828875,0.11828875,0.14457971,0.11828875,0.112655952,0.107291383
,% VX,,,,0.043626238,0.023893942,0.0053206,0.016664683,0,0.02930358,0.018721831,0.032199928,0.019386721,0.017062767,0.020097347,0.019004181,0.0285,0.013258041,0.015243626,0.020687778,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
,% AOS/Total Qty Pcs,,,,0.297029703,0.011715739,0.032196453,0.00380907,0.150575448,0.056154978,0.037559228,0.162201129,0.021033958,0.080804388,0.143350604,0.518687445,0.1512,0.093297324,0.021413665,0.070320298,0.15,0.15,0.15,0.15,0.15,0.15,0,0,0,0,0
,% DWS/TTotal Qty Pcs,,,,0.003712871,0.01140743,0.00095498,0.088798953,0.116368286,0.007724375,0.003120305,-0.000480596,0.096553472,0.00670323,0.052912545,0.043456227,0.0313,0.031180948,0.000635151,0.04237365,0.07,0.07,0.07,0.07,0.07,0.07,0,0,0,0,0
Outgoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outgoing - 900-00005-01,900-00005-01,'New VX with ZigBee Option Product Wired White,,,-2025,-1564,-2817,-2416,-2085,-3308,-2103,-1716,-4600,-2279,-1504,-1409,-2050,-2500,-2960,-2987,-3225.816,-3794.849942,-3794.849942,-3794.849942,-3066.545408,-4216.8,-4216.8,-3450,-4216.8,-4427.64,-4649.022
Outgoing - 900-00005-00,900-00005-00,New VX with ZigBee Option Product Wireless White,,,-3950,-4047,-3861,-5636,-3464,-3557,-6164,-5824,-2927,-5535,-4717,-6155,-4970,-5279,-3745,-5088,-4838.724,-5692.274914,-5692.274914,-5692.274914,-4599.818112,-6325.2,-6325.2,-5175,-6325.2,-6641.46,-6973.533
Outgoing - 900-00006-00,900-00006-00,'New VX 6 Relay Control Card,,,-3733,-4306,-4191,-5214,-3007,-3366,-5417,-6492,-2941,-5855,-4747,-6452,-7856,-5007,-3971,-5012,-4489.84,-5265.795376,-5265.795376,-5265.795376,0,0,0,0,0,0,0
Outgoing - WX-EMRT1,WX-EMRT1,Friedrich Thermostat Wired White new VX,,,0,0,-600,0,0,0,0,0,0,-1,0,0,-147,-438,-600,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332
Outgoing - WX-EMWRT1,WX-EMWRT1,Friedrich Thermostat Wireless White new VX,,,0,-600,0,-180,0,-239,-200,-500,0,-3,-10,0,-2321,139,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
Outgoing - WX-RS485,WX-RS485,Friedrich Thermostat Wired White new VX,,,0,0,0,0,-512,-500,-5,0,-86,-2,0,0,-214,-117,0,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278
Outgoing - WX-RS485-W with V8-AC-CC-RSW,WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,,,0,0,0,0,-182,-302,-3,-3,-3,-142,0,-179,-2,-210,0,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634
Outgoing - 900-00002-00,900-00002-00,Control Card for WX-EMWRT1,,,-312,-159,-50,-330,-16,-187,-70,-14,-29,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
Outgoing - AC-CC-6R-REC,AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,,,-359,-31,-227,-681,-524,-195,-954,-30,-339,-191,-494,-49,-399,-301,-227,-577,-977.52,-1149.954528,-1149.954528,-1149.954528,-919.9636224,-1265.04,-1265.04,-1035,-1265.04,-1328.292,-1394.7066
Outgoing - ZB-VX-TR-U-W/B,ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,,,,,,-194,-1063,-276,-130,-534,-1348,-24,-204,-582,-502,-831,-441,-1025,-814.6,-958.29544,-958.29544,-958.29544,-766.636352,-1054.2,-1054.2,-862.5,-1054.2,-1106.91,-1162.2555
Outgoing - 900-00003-01,900-00003-01, VX Wired Thermostat,,,-175,-94,-31,-65,0,-97,-102,-96,-101,-44,-48,-42,-206,-41,-20,-58,-32.584,-38.3318176,-38.3318176,-38.3318176,0,0,0,0,0,0,0
Outgoing - 900-00003-00,900-00003-00,VX Wireless Thermostat,,,-107,-61,-8,-75,0,-142,-60,-172,-52,-96,-80,-108,-79,-67,-148,-170,-48.876,-57.4977264,-57.4977264,-57.4977264,0,0,0,0,0,0,0
Outgoing - 900-00001-11,900-00001-11,New VX Wired Thermostat Black,,,-2,-9,0,-26,-2,-11,-10,0,0,-13,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outgoing - 900-00001-10,900-00001-10,New VX Wireless Thermostat Black,,,-205,-112,-13,-3,-11,0,-6,-12,-123,-90,-10,0,-1,-3,-13,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91
Outgoing - FCA46-120V,FCA46-120V,Voltage Adapter for 120V Systems,,,-65,30,-70,-20,0,-60,-49,-90,-4,-3,-10,-10,0,-13,-70,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0
Outgoing - FCA46-240/277V,FCA46-240/277V,Voltage Adapter for  240/277V Systems,,,0,-15,-1,0,-5,-10,0,0,0,0,-10,0,-220,-4,-1,-10,-10,-10,-10,-10,-10,0,0,0,0,0,0
Outgoing - FCA47-120V,FCA47-120V,Voltage Adapter 120V for new VX,,,-101,-233,-404,-20,0,-346,-45,-362,-345,-343,-26,-12,-437,-474,-400,-271,-271,-271,-271,-271,-271,0,0,0,0,0,0
Outgoing - FCA47-240/277V,FCA47-240/277V,Voltage Adapter 240/277V for new VX,,,-204,-250,-4,-2,-5,-5,-17,-20,-11,-12,-14,-1302,-57,-486,-4,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0
Outgoing - X9-RF-AOS,X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,,,-1920,-76,-236,-32,-942,-458,-325,-1350,-166,-663,-913,-4094,-1512,-760,-236,-775,-1221.9,-1437.44316,-1437.44316,-1437.44316,-1149.954528,-1581.3,0,0,0,0,0
Outgoing - X3-NC-OS,X3-NC-OS,Wired Remote Occupancy Sensor,,,-101,-233,-404,-20,0,-346,-45,-362,-345,-343,-26,-12,-437,-474,0,-11,-11,-11,-11,-11,-11,0,0,0,0,0,0
Outgoing - X9-RF-DWS,X9-RF-DWS,Wireless Door/Window Switch,,,-24,-74,-7,-746,-728,-63,-27,4,-762,-55,-337,-343,-313,-254,-7,-467,-570.22,-670.806808,-670.806808,-670.806808,-536.6454464,-737.94,0,0,0,0,0
Outgoing - X9-RF-Receiver,X9-RF-Receiver,Aux. Sensor Receiver,,,-80,-14,-30,-40,-1146,-327,-89,0,-41,-697,-340,-469,-714,-800,-30,-566,-1303.36,-1533.272704,-1533.272704,-1533.272704,-1686.599974,-2319.24,0,0,0,0,0
Outgoing - 900-00007-00,900-00007-00,ZX Wireless Wall Unit,,,0,0,0,0,0,0,0,0,-2,-1,0,-33,-22,0,0,-291,-241.9362,-284.6137457,-284.6137457,-284.6137457,-229.9909056,-316.26,-316.26,-258.75,-316.26,-332.073,-348.67665
Outgoing - 900-00008-00,900-00008-00,ZX Wired Wall Unit,,,0,0,0,0,0,-14,-2,-138,-6,-71,-1,-3,-304,-1,0,-360,-161.2908,-189.7424971,-189.7424971,-189.7424971,-153.3272704,-210.84,-210.84,-172.5,-210.84,-221.382,-232.4511
Outgoing - 900-00009-00,900-00009-00,ZX High Voltage Control Card,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.38724,-56.92274914,-56.92274914,-56.92274914,-45.99818112,-63.252,-63.252,-51.75,-63.252,-66.4146,-69.73533
Outgoing - 900-00010-00,900-00010-00,ZX Low Voltage Control Card,,,0,0,0,0,0,0,0,0,-2,-1,0,-33,0,0,0,0,-193.54896,-227.6909965,-227.6909965,-227.6909965,-183.9927245,-253.008,-253.008,-207,-253.008,-265.6584,-278.94132
Outgoing - 900-00011-00,900-00011-00,ZX Remote Sensor,,,0,0,0,0,0,0,0,0,-4,-9,-2,-13,-2,0,0,-4,-32.25816,-37.94849942,-37.94849942,-37.94849942,-30.66545408,-42.168,-42.168,-34.5,-42.168,-44.2764,-46.49022
Outgoing - 900-00012-00,900-00012-00,ZX Root Node,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-8.06454,-9.487124856,-9.487124856,-9.487124856,-7.66636352,-10.542,-10.542,-8.625,-10.542,-11.0691,-11.622555
Incoming,,,,"1=booked, 3=booked and planned",,,ONLY FIRM POs ARE TAKEN INTO ACCOUNT ,,,,,,,,,,,,,,,,,,,,,,,,
Incoming - 900-00005-01,900-00005-01,'New VX with ZigBee Option Product Wired White,,1,,3040,2360,2620,1776,8584,0,840,3188,1728,1152,4033,3839,1536,5,4365,4896,13472,0,3600,0,0,0,0,0,0,0
Incoming - 900-00005-00,900-00005-00,New VX with ZigBee Option Product Wireless White,,1,,4380,5600,4900,8000,7586,192,4764,6048,864,3936,12768,3744,3648,5765,8013,5856,20968,0,8000,0,0,0,0,0,0,0
Incoming - 900-00006-00,900-00006-00,'New VX 6 Relay Control Card,,1,,340,4000,8460,3620,5660,320,5680,3760,5520,2800,11860,2140,9360,10,13430,240,21180,0,5000,0,0,0,0,0,0,0
Incoming - WX-EMRT1,WX-EMRT1,Friedrich Thermostat Wired White new VX,,1,,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - WX-EMWRT1,WX-EMWRT1,Friedrich Thermostat Wireless White new VX,,1,,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - WX-RS485,WX-RS485,Friedrich Thermostat Wired White new VX,,1,,460,0,0,0,586,14,0,0,468,32,0,0,0,288,212,500,1500,0,500,0,0,0,0,0,0,0
Incoming - WX-RS485-W with V8-AC-CC-RSW,WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,,1,,0,0,0,0,0,0,0,0,288,212,0,0,0,288,212,500,1500,0,2500,0,0,0,0,0,0,0
Incoming - 900-00002-00,900-00002-00,Control Card for WX-EMWRT1,,1,,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - AC-CC-6R-REC,AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,,1,,2488,0,0,0,0,0,2000,288,2000,1152,0,864,576,0,1150,648,4592,0,1000,0,0,0,0,0,0,0
Incoming - ZB-VX-TR-U-W/B,ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,,1,,0,0,1040,200,3920,0,840,3380,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00003-01,900-00003-01, VX Wired Thermostat,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00003-00,900-00003-00,VX Wireless Thermostat,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00001-11,900-00001-11,New VX Wired Thermostat Black,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00001-10,900-00001-10,New VX Wireless Thermostat Black,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - FCA46-120V,FCA46-120V,Voltage Adapter for 120V Systems,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - FCA46-240/277V,FCA46-240/277V,Voltage Adapter for  240/277V Systems,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,744,0,0,0,0,0,0,0,0,0,0
Incoming - FCA47-120V,FCA47-120V,Voltage Adapter 120V for new VX,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,0,0,500,0,0,0,0,0,0,0
Incoming - FCA47-240/277V,FCA47-240/277V,Voltage Adapter 240/277V for new VX,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,256,216,0,0,500,0,0,0,0,0,0,0
Incoming - X9-RF-AOS,X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,,1,,0,0,0,0,0,0,1024,1976,0,2560,0,1152,0,1664,5632,768,5096,0,500,0,0,0,0,0,0,0
Incoming - X3-NC-OS,X3-NC-OS,Wired Remote Occupancy Sensor,,1,,0,0,0,0,0,0,0,0,0,0,0,2000,160,800,960,1960,0,0,0,0,0,0,0,0,0,0
Incoming - X9-RF-DWS,X9-RF-DWS,Wireless Door/Window Switch,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,704,256,768,2855,0,500,0,0,0,0,0,0,0
Incoming - X9-RF-Receiver,X9-RF-Receiver,Aux. Sensor Receiver,,1,,0,0,0,0,0,0,0,0,0,3360,2400,960,0,0,480,4320,2557,0,0,0,0,0,0,0,0,0
Incoming - 900-00007-00,900-00007-00,ZX Wireless Wall Unit,,1,,0,0,0,0,300,0,500,0,240,0,0,610,2160,0,1490,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00008-00,900-00008-00,ZX Wired Wall Unit,,1,,0,0,0,0,210,0,500,500,200,0,0,600,0,2700,0,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00009-00,900-00009-00,ZX High Voltage Control Card,,1,,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0
Incoming - 900-00010-00,900-00010-00,ZX Low Voltage Control Card,,1,,0,0,0,0,300,0,0,0,0,0,0,10,0,204,3286,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00011-00,900-00011-00,ZX Remote Sensor,,1,,0,0,0,0,210,0,0,0,0,0,0,10,240,0,1750,0,0,0,0,0,0,0,0,0,0,0
Incoming - 900-00012-00,900-00012-00,ZX Root Node,,1,,0,0,0,0,15,0,100,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
"Inventory, end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inventory, end - 900-00005-01",900-00005-01,'New VX with ZigBee Option Product Wired White,,,,6434,5977,6181,5872,11148,9045,8169,6607,6056,5704,8328,10117,7172,4217,6108,7778.184,17455.33406,13660.48412,13465.63417,10399.08876,6182.288765,1965.488765,-1484.511235,-5701.311235,-10128.95124,-14777.97324
"Inventory, end - 900-00005-00",900-00005-00,New VX with ZigBee Option Product Wireless White,,,,2763,4390,3641,8174,12192,6220,4954,7063,2269,1398,8001,6775,3743,5721,6045,7062.276,22247.00109,16463.72617,18680.45126,13989.63315,7573.433147,1157.233147,-4108.766853,-10524.96685,-17257.42685,-24321.95985
"Inventory, end - 900-00006-00",900-00006-00,'New VX 6 Relay Control Card,,,,2565,2756,6002,6615,8909,3812,3000,3819,3484,1537,6945,1229,7082,3121,10054,5804.16,21718.36462,16452.56925,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387
"Inventory, end - WX-EMRT1",WX-EMRT1,Friedrich Thermostat Wired White new VX,,,,1000,400,400,400,400,400,400,400,399,399,399,252,-39,-600,900,568,236,-96,-428,-760,-1092,-1424,-1756,-2088,-2420,-2752
"Inventory, end - WX-EMWRT1",WX-EMWRT1,Friedrich Thermostat Wireless White new VX,,,,421,421,241,241,2,-198,-500,0,-3,-13,-13,-2334,139,0,900,897,894,891,888,885,882,879,876,873,870,867
"Inventory, end - WX-RS485",WX-RS485,Friedrich Thermostat Wired White new VX,,,,516,516,516,4,90,99,99,13,479,511,511,297,170,458,0,222,1444,1166,1388,1110,832,554,276,-2,-280,-558
"Inventory, end - WX-RS485-W with V8-AC-CC-RSW",WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,,,,990,990,990,808,506,503,500,497,643,855,676,674,449,737,200,66,932,298,2164,1530,896,262,-372,-1006,-1640,-2274
"Inventory, end - 900-00002-00",900-00002-00,Control Card for WX-EMWRT1,,,,1308,876,546,530,343,273,259,180,180,180,180,180,180,180,0,-3,-6,-9,-12,-15,-18,-21,-24,-27,-30,-33
"Inventory, end - AC-CC-6R-REC",AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,,,,2806,2579,1898,1374,1179,225,2195,2144,3953,4611,4562,5027,3302,3075,4268,3938.48,7380.525472,6230.570944,6080.616416,5160.652794,3895.612794,2630.572794,1595.572794,330.5327936,-997.7592064,-2392.465806
"Inventory, end - ZB-VX-TR-U-W/B",ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,,,,0,0,846,-17,3627,3497,3803,5835,12331,12127,11545,11043,9892,9451,8212,7397.4,6439.10456,5480.80912,4522.51368,3755.877328,2701.677328,1647.477328,784.977328,-269.222672,-1376.132672,-2538.388172
"Inventory, end - 900-00003-01",900-00003-01, VX Wired Thermostat,,,,2175,1238,1173,1173,1076,974,878,777,733,685,643,437,246,226,208,175.416,137.0841824,98.7523648,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472,60.4205472
"Inventory, end - 900-00003-00",900-00003-00,VX Wireless Thermostat,,,,774,1672,1597,1597,1455,1395,1223,1171,1075,995,887,808,991,843,973,924.124,866.6262736,809.1285472,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208,751.6308208
"Inventory, end - 900-00001-11",900-00001-11,New VX Wired Thermostat Black,,,,242,242,216,214,203,193,193,193,180,180,180,170,220,220,220,220,220,220,220,220,220,220,220,220,220,220
"Inventory, end - 900-00001-10",900-00001-10,New VX Wireless Thermostat Black,,,,-109,-10,0,-8,3,-3,-9,-120,-87,-7,3,2,14,4,17,17,17,17,17,17,17,17,17,17,17,17
"Inventory, end - FCA46-120V",FCA46-120V,Voltage Adapter for 120V Systems,,,,828,758,738,738,678,629,539,535,532,522,512,512,399,329,406,403,400,397,394,391,391,391,391,391,391,391
"Inventory, end - FCA46-240/277V",FCA46-240/277V,Voltage Adapter for  240/277V Systems,,,,670,669,669,664,654,654,654,654,654,644,644,424,313,312,303,1037,1027,1017,1007,997,997,997,997,997,997,997
"Inventory, end - FCA47-120V",FCA47-120V,Voltage Adapter 120V for new VX,,,,3848,3444,3424,3424,3078,3033,2671,2326,1983,1957,1945,1508,884,484,574,2287,2016,1745,1974,1703,1703,1703,1703,1703,1703,1703
